loweryr,lowerelev,upperyr,upperelev
11598.944591029,181.812125249833,11419.5250659631,182.038640906063
11567.2823218997,178.52764823451,11387.8627968338,178.301132578281
11546.1741424802,175.356429047302,11356.2005277045,175.469686875416
11503.9577836412,167.65489673551,11335.092348285,171.505662891406
11377.308707124,142.511658894071,11313.9841688654,167.541638907395
11292.8759894459,129.147235176549,11303.4300791557,165.502998001332
11271.7678100264,127.561625582945,11292.8759894459,163.46435709527
11176.7810026385,124.843437708195,11282.3218997362,161.425716189207
10786.2796833773,119.520319786809,11271.7678100264,159.047301798801
10596.3060686016,116.802131912059,11261.2137203166,156.782145236509
10406.3324538259,113.517654896736,11229.5514511873,151.005996002665
10279.6833773087,111.139240506329,11218.9973614776,148.514323784144
10174.1424802111,108.647568287808,11197.889182058,145.003331112592
10047.4934036939,105.023317788141,11176.7810026385,141.832111925383
9963.06068601583,101.965356429047,11166.2269129288,138.434377081945
9920.84432717678,99.2471685542972,11155.672823219,136.508994003997
9899.73614775726,97.4350433044637,11145.1187335092,134.470353097935
9868.07387862797,94.8301132578282,11124.0105540897,131.752165223185
9836.41160949868,91.9986675549634,11102.9023746702,130.16655562958
9783.64116094987,86.2225183211193,11081.7941952507,128.241172551632
9688.65435356201,78.5209860093272,11060.6860158311,126.995336442372
9593.66754617414,73.6508994003998,11018.4696569921,126.089273817455
9540.89709762533,71.9520319786809,10955.1451187335,124.956695536309
9477.57255936676,70.4796802131913,10870.7124010554,123.824117255163
9414.24802110818,69.5736175882746,10786.2796833773,122.691538974017
9308.70712401056,68.4410393071287,10701.8469656992,121.672218520986
9203.16622691293,67.4217188540974,10627.9683377309,120.53964023984
9139.84168865435,66.5156562291806,10522.4274406332,118.954030646236
9160.94986807388,66.751687541639,10427.4406332454,117.481678880746
9118.73350923483,65.6095936042639,10321.8997361478,115.669553630913
9076.51715039578,63.7974683544305,10226.9129287599,114.083944037309
9034.30079155673,62.2118587608262,10153.0343007916,112.838107928048
8992.08443271768,60.6262491672219,10089.709762533,111.479013990673
8939.31398416887,59.1538974017323,10015.8311345646,109.553630912725
8907.65171503958,58.4743504330447,9952.50659630607,108.081279147235
8844.327176781,57.568287808128,9899.73614775726,106.608927381746
8728.23218997361,56.3224516988675,9857.51978891821,105.363091272485
8569.92084432718,55.0766155896071,9825.85751978892,104.00399733511
8432.71767810026,54.0572951365757,9783.64116094987,102.418387741506
8189.97361477573,52.3584277148569,9751.97889182058,100.606262491672
8042.21635883905,51.3391072618255,9720.31662269129,98.5676215856097
7936.67546174143,50.5463024650234,9699.20844327177,96.7554963357762
7852.24274406332,49.4137241838775,9678.10026385224,94.7168554297136
7788.91820580475,48.2811459027316,9646.43799472296,91.7721518987342
7725.59366754618,46.9220519653565,9625.32981530343,89.2804796802133
7662.2691292876,45.2231845436377,9604.2216358839,86.9020652898068
7598.94459102902,42.9580279813458,9562.00527704485,83.5043304463691
7556.72823218997,41.8254497002,9498.68073878628,78.7475016655564
7493.4036939314,40.5796135909395,9456.46437994723,76.1425716189208
7408.9709762533,39.2205196535644,9424.80211081794,74.5569620253165
7292.87598944591,37.6349100599601,9382.58575197889,73.0846102598269
7176.78100263852,36.3890739506996,9350.92348284961,72.1785476349101
7060.68601583114,35.1432378414391,9287.59894459103,71.0459693537642
6912.92875989446,33.7841439040641,9171.50395778364,69.8001332445037
6701.84696569921,32.1985343104598,9055.40897097625,68.5542971352433
6522.42744063325,30.8394403730847,8992.08443271768,67.7614923384411
6258.57519788918,29.0273151232513,8960.42216358839,66.7421718854098
6026.38522427441,27.6682211858762,8907.65171503958,65.0433044636909
5741.42480211082,25.9693537641573,8865.43535620053,63.1179213857429
5445.91029023747,24.2704863424385,8833.77308707124,61.9853431045971
5308.70712401055,23.4776815456364,8802.11081794195,60.8527648234511
5002.63852242744,22.0053297801467,8759.8944591029,59.8334443704198
4675.4617414248,20.3064623584278,8696.56992084433,58.7008660892739
4105.54089709762,17.7015323117923,8591.0290237467,57.568287808128
3799.47229551451,16.3424383744172,8464.37994722955,56.6622251832113
3556.72823218997,15.2098600932713,8337.7308707124,55.7561625582946
3081.79419525066,13.0579613590941,8168.8654353562,54.5103264490341
2532.98153034301,10.6795469686877,7894.45910290238,52.4716855429714
2079.15567282322,8.64090606262505,7788.91820580475,51.6788807461693
1910.29023746702,7.96135909393752,7725.59366754618,50.9993337774818
1625.32981530343,6.71552298467699,7651.71503957784,49.7534976682213
1076.51715039578,4.33710859427063,7609.49868073879,48.8474350433045
749.34036939314,2.97801465689554,7493.4036939314,46.0159893404398
327.176781002636,1.16588940706208,7461.74142480211,44.8834110592939
158.311345646436,0.486342438374521,7430.07915567282,43.6375749500334
42.2163588390486,0.033311125916185,7387.86279683377,42.5049966688875
,,7313.98416886544,41.0326449033978
,,7155.672823219,38.8807461692206
,,7029.02374670185,37.4083944037309
,,6754.61741424802,34.9167221852099
,,6575.19788918206,33.5576282478349
,,6332.45382585752,31.7455029980014
,,6131.92612137203,30.3864090606264
,,5878.62796833773,28.8007994670221
,,5720.31662269129,27.8947368421054
,,5509.23482849604,26.7621585609595
,,5329.81530343008,25.7428381079281
,,5108.17941952507,24.6102598267823
,,4865.43535620053,23.3644237175218
,,4422.1635883905,21.2125249833445
,,4158.31134564644,19.9666888740841
,,3968.33773087071,19.1738840772819
,,3746.7018469657,18.1545636242506
,,3525.06596306068,17.1352431712193
,,3240.10554089709,15.8894070619588
,,2934.03693931398,14.5303131245837
,,2564.64379947229,12.9447035309795
,,2131.92612137203,11.0193204530314
,,1889.18205804749,10.0000000000001
