loweryr,lowerelev,upperyr,upperelev
12459.4807871319,153.416370106762,11808.2352355305,153.629893238434
12341.1045435914,152.562277580071,11738.3134966999,152.348754448399
12190.4584962976,151.067615658363,11646.8670632716,150.960854092527
12082.861838199,149.786476868327,11571.5708545139,149.466192170819
11996.7937053963,148.505338078292,11496.2784764546,147.864768683274
11878.4557688403,146.583629893238,11410.2371585411,145.836298932384
11797.7735980601,145.195729537367,11318.8290320974,143.380782918149
11706.3463181242,143.274021352313,11232.8068676762,140.818505338078
11614.9228688867,141.245551601423,11136.0434247976,137.615658362989
11528.8892123701,139.003558718861,11055.4187144942,134.626334519573
11458.9981191271,136.868327402135,10980.195289007,131.103202846975
11389.1223486778,134.306049822064,10899.6357005773,126.298932384342
11335.3814801053,132.064056939502,10851.3267624086,122.669039145907
11292.4010434823,129.928825622776,10803.0637926213,117.758007117438
11233.3048584748,126.939501779359,10770.9357247107,113.167259786477
11179.5984661883,123.73665480427,10754.9770349628,107.935943060498
11125.9073966956,120.106761565836,10744.3966458404,102.811387900356
11082.972928454,116.690391459075,10733.7971032258,98.220640569395
11061.5363399209,114.128113879004,10712.448620757,93.202846975089
11040.111243483,111.245551601423,10680.309060751,88.932384341637
11018.6899777436,108.256227758007,10637.3899153033,85.0889679715302
11008.0291439538,105.373665480427,10572.9537366548,80.9252669039146
10986.6193703098,102.064056939502,10503.1086117932,77.508896797153
10970.6262042758,97.7935943060498,10417.1170929596,74.0925266903915
10959.9960160736,94.0569395017794,10320.3459886841,71.1032028469751
10938.6245494141,89.6797153024911,10212.8106217607,68.1138790035587
10901.0837045919,85.9430604982207,10094.5109921892,65.1245551601424
10858.1454056518,82.6334519572954,9970.81390849994,62.5622775800712
10799.0722048351,79.0035587188612,9852.49129473777,60.2135231316726
10729.2194185766,75.8007117437722,9728.77505755625,58.1850533807829
10675.4823807025,73.4519572953736,9583.52646438025,56.2633451957295
10605.6066102532,70.8896797153025,9422.12381583534,54.5551601423488
10530.3410470831,68.5409252669039,9233.80284927351,53.0604982206406
10455.075483913,66.1921708185053,9040.08825929232,51.8861209964413
10363.6596960724,63.9501779359431,8792.55235607108,50.711743772242
10272.2362468349,61.9217081850534,8571.91561737452,49.8576512455516
10175.4344969718,59.7864768683274,8362.03547992906,49.2170818505338
10067.8608230639,57.864768683274,8119.88170803183,48.0427046263345
9965.6539576861,56.3701067615658,7931.55308007309,46.7615658362989
9868.82539293389,54.982206405694,7748.61041413681,45.3736654804271
9745.09000226012,53.4875444839858,7576.43584154699,43.8790035587189
9594.44778566476,51.8861209964413,7415.02936230363,42.2775800711744
9443.79407697406,50.6049822064057,7242.87777390452,40.1423487544484
9260.84374964087,49.4306049822064,7103.01131205253,38.220640569395
9056.36106631322,48.3629893238434,6990.05550682056,36.5189323843416
8846.48859026466,47.508896797153,6828.6566889741,34.4839857651245
8593.55906362407,46.6548042704626,6672.63234105475,32.8825622775801
8340.62187558658,46.0142348754449,6500.45393776647,31.4946619217082
8184.56688207961,45.2669039145907,6339.03596642776,30.2135231316726
8012.37315599754,44.3060498220641,6166.84990174259,29.0391459074733
7840.18709131236,43.1316725978648,5989.27787503496,27.9715302491103
7651.86612475053,41.6370106761566,5800.94158567932,26.9039145907473
7485.07751418316,40.0355871886121,5617.97976625078,26.0498220640569
7323.68252703516,38.1138790035587,5391.96855762711,24.982206405694
7189.19436580872,36.2989323843416,5155.19691705389,23.8078291814947
7043.94577263273,34.3772241992883,4945.33210240223,22.7402135231317
6861.0299215856,32.2419928825623,4740.85324977303,21.5658362989324
6699.62344234224,30.6405693950178,4514.84587184782,20.3914590747331
6527.44503905397,29.2526690391459,4294.2206252466,19.2170818505338
6344.49854241924,27.9715302491103,4046.69621412072,17.7224199288256
6107.74222463982,26.3701067615658,3809.9322349444,16.3345195729538
5892.50294006106,25.0889679715303,3594.68911966719,15.1601423487544
5714.92708265498,24.1281138790035,3304.10382725082,13.7722419928826
5526.58313190244,23.2740213523132,3088.85688127516,12.7046263345196
5338.23535045145,22.5266903914591,2900.51676122108,11.7437722419929
5149.89139969891,21.6725978647687,2685.27364594387,10.5693950177936
4950.78318629836,20.8185053380783,2496.92969519133,9.71530249110322
4762.44306624427,19.8576512455516,2324.7321384108,8.86120996441281
4579.48890821264,18.7900355871886,2184.82353887585,8.11387900355874
4396.534750181,17.7224199288256,2174.07076832319,7.79359430604981
4192.0482361549,16.7615658362989,1937.30295844842,6.51245551601426
4003.70811610081,15.8007117437722,1732.82793651767,5.23131672597867
3804.59990270026,14.9466192170819,1544.48398576513,4.37722419928826
3573.20656275259,13.8790035587189,1329.22554769412,3.62989323843419
3309.53192695624,12.491103202847,1076.29219035507,2.88256227758009
3110.42371355569,11.6370106761566,791.069875770452,2.02846975088971
2905.92953813269,10.8896797153025,484.319035889815,1.1743772241993
2690.67493076013,10.0355871886121,242.149941198779,0.427046263345204
2502.33098000759,9.18149466192173,43.0264050044261,0
2335.51172385261,8.4341637010676,NA,NA
2174.07076832319,7.79359430604981,NA,NA
1937.30295844842,6.51245551601426,NA,NA
1732.82793651767,5.23131672597867,NA,NA
1544.48398576513,4.37722419928826,NA,NA
1329.22554769412,3.62989323843419,NA,NA
1076.29219035507,2.88256227758009,NA,NA
791.069875770452,2.02846975088971,NA,NA
484.319035889815,1.1743772241993,NA,NA
242.149941198779,0.427046263345204,NA,NA
43.0264050044261,0,NA,NA
2174.07076832319,7.79359430604981,NA,NA
1937.30295844842,6.51245551601426,NA,NA
