site_name,askeladden_id,rcarb_cor,context,material,lab_code,c14_bp,error,delta_c13
Anvik,119055,f,Fireplace (ID 10520),Willow (Salix),Ua-46951,7875,52,
Anvik,119055,f,Fireplace (ID 10520),Willow (Salix),Ua-46952,7744,49,
Anvik,119055,f,Fireplace (ID 10520),Pine (Pinus),Ua-46953,7678,49,
Frebergsvik B,,f,Cultural layer,Animal bone,T-928,2020,140,
Frebergsvik B,,f,Do.,Do.,T-929,2260,130,
Frebergsvik A,,f,Fireplace,Charcoal,T-969,450,50,
Frebergsvik C,,f,Concentration of charcoal,Charcoal,T-970,3850,110,
Nordby 3 (Bommestad-Sky),119398,f,Cooking pit (ID 1),Birch (Betula),TRa-3414,1825,35,-25.4
Rognlien,11534,f,Unspecified excavation unit,"Charcoal, unspecified",T-133,4700,120,
Rognlien,11534,f,Unspecified excavation unit,"Charcoal, unspecified",T-1873,4600,130,
Rognlien,11534,t,Unspecified excavation unit,"Burnt bone, elk (Alces alces)",TRa-3591,4090,35,
Tverdal,41667,f,"Cultural layer, quadrant (16x10ySE)",Yew (Taxus),TRa-443,2480,35,-24.7
Tverdal,41667,t,"Cultural layer, quadrant (14x10yNW)",Birch (Betula),TRa-444,4370,45,-26.1
Tverdal,41667,f,"Cultural layer, quadrant (16x10yNW)",Birch (Betula),TRa-445,2535,30,-24.9
Tverdal,41667,f,"Cultural layer, quadrant (16x10ySW)",Yew (Taxus),TRa-446,2475,40,-26.1
Tverdal,41667,t,"Cultural layer, quadrant (16x10y)",Dog (Canis familiaris),Ua-47406,4536,131,-26.1
Tverdal,41667,t,"Cultural layer, quadrant (16x10y)",Boar (Sus scrofa),Ua-47407,4622,48,-23.4
Tverdal,41667,t,"Cultural layer, quadrant (16x10y)",Mammal (Mammalia),Ua-47408,4401,36,-26.1
